term_str,n,p,i,h,n_chars,max_pos,stem_porter,stem_snowball,stem_lancaster
new,47,0.00170840754607248,9.19313210914063,0.015705616267297065,3,JJ,new,new,new
thus,47,0.00170840754607248,9.19313210914063,0.015705616267297065,4,RB,thu,thus,thu
powder,46,0.0016720584493475337,9.224159004761255,0.015423333002036193,6,NN,powder,powder,powd
may,46,0.0016720584493475337,9.224159004761255,0.015423333002036193,3,MD,may,may,may
compositions,46,0.0016720584493475337,9.224159004761255,0.015423333002036193,12,NNS,composit,composit,composit
order,46,0.0016720584493475337,9.224159004761255,0.015423333002036193,5,NN,order,order,ord
chemical,45,0.0016357093526225873,9.255867864488593,0.015139909632582845,8,NN,chemic,chemic,chem
average,45,0.0016357093526225873,9.255867864488593,0.015139909632582845,7,JJ,averag,averag,av
mixing,45,0.0016357093526225873,9.255867864488593,0.015139909632582845,6,VBG,mix,mix,mix
range,45,0.0016357093526225873,9.255867864488593,0.015139909632582845,5,NN,rang,rang,rang
gpa,44,0.001599360255897641,9.28828934218097,0.014855320819161888,3,NN,gpa,gpa,gpa
difference,43,0.0015630111591726946,9.321456206116169,0.014569540069899141,10,NN,differ,differ,diff
small,43,0.0015630111591726946,9.321456206116169,0.014569540069899141,5,JJ,small,small,smal
patterns,42,0.0015266620624477482,9.355403538039507,0.014282539660414354,8,NNS,pattern,pattern,pattern
solute,42,0.0015266620624477482,9.355403538039507,0.014282539660414354,6,NN,solut,solut,solv
material,42,0.0015266620624477482,9.355403538039507,0.014282539660414354,8,NN,materi,materi,mat
time,42,0.0015266620624477482,9.355403538039507,0.014282539660414354,4,NN,time,time,tim
density,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,7,NN,densiti,densiti,dens
temperatures,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,12,NNS,temperatur,temperatur,temp
x-ray,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,5,NN,x-ray,x-ray,x-ray
dft,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,3,NN,dft,dft,dft
analysis,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,8,NN,analysi,analysi,analys
high-entropy,40,0.0014539638689978554,9.425792865930905,0.013704762263721283,12,NN,high-entropi,high-entropi,high-entropy
bulk,40,0.0014539638689978554,9.425792865930905,0.013704762263721283,4,NN,bulk,bulk,bulk
random,39,0.001417614772272909,9.462318741956018,0.01341392282855166,6,NN,random,random,random
atom,39,0.001417614772272909,9.462318741956018,0.01341392282855166,4,NN,atom,atom,atom
within,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,6,IN,within,within,within
dislocation,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,11,NN,disloc,disloc,disloc
presented,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,9,VBN,present,present,pres
systems,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,7,NNS,system,system,system
total,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,5,JJ,total,total,tot
sss,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,3,NN,sss,sss,sss
strain,37,0.0013449165788230162,9.538267595189318,0.012828174222020455,6,NN,strain,strain,strain
measured,37,0.0013449165788230162,9.538267595189318,0.012828174222020455,8,VBN,measur,measur,meas
melting,37,0.0013449165788230162,9.538267595189318,0.012828174222020455,7,VBG,melt,melt,melt
higher,36,0.0013085674820980699,9.577795959375955,0.01253319234260966,6,JJR,higher,higher,high
change,36,0.0013085674820980699,9.577795959375955,0.01253319234260966,6,NN,chang,chang,chang
corresponding,36,0.0013085674820980699,9.577795959375955,0.01253319234260966,13,VBG,correspond,correspond,correspond
according,36,0.0013085674820980699,9.577795959375955,0.01253319234260966,9,VBG,accord,accord,accord
decreases,35,0.0012722183853731235,9.618437943873301,0.012236753590766078,9,NNS,decreas,decreas,decreas
nbmotaw,35,0.0012722183853731235,9.618437943873301,0.012236753590766078,7,NN,nbmotaw,nbmotaw,nbmotaw
intermetallic,35,0.0012722183853731235,9.618437943873301,0.012236753590766078,13,NN,intermetal,intermetal,intermetal
transition,35,0.0012722183853731235,9.618437943873301,0.012236753590766078,10,NN,transit,transit,transit
variation,34,0.001235869288648177,9.660258119567928,0.011938816330388192,9,NN,variat,variat,vary
stress,34,0.001235869288648177,9.660258119567928,0.011938816330388192,6,NN,stress,stress,stress
structures,34,0.001235869288648177,9.660258119567928,0.011938816330388192,10,NNS,structur,structur,structures
single-phase,34,0.001235869288648177,9.660258119567928,0.011938816330388192,12,NN,single-phas,single-phas,single-phas
first,34,0.001235869288648177,9.660258119567928,0.011938816330388192,5,RB,first,first,first
shear,34,0.001235869288648177,9.660258119567928,0.011938816330388192,5,NN,shear,shear,shear
metals,34,0.001235869288648177,9.660258119567928,0.011938816330388192,6,NNS,metal,metal,met
superconducting,33,0.0011995201919232307,9.703326841459814,0.011639336475161712,15,VBG,superconduct,superconduct,superconduc
larger,33,0.0011995201919232307,9.703326841459814,0.011639336475161712,6,JJR,larger,larger,larg
low,33,0.0011995201919232307,9.703326841459814,0.011639336475161712,3,JJ,low,low,low
rate,33,0.0011995201919232307,9.703326841459814,0.011639336475161712,4,NN,rate,rate,rat
concentrations,33,0.0011995201919232307,9.703326841459814,0.011639336475161712,14,NNS,concentr,concentr,cont
studied,33,0.0011995201919232307,9.703326841459814,0.011639336475161712,7,VBN,studi,studi,study
seen,33,0.0011995201919232307,9.703326841459814,0.011639336475161712,4,VBN,seen,seen,seen
metal,32,0.0011631710951982843,9.747720960818267,0.011338267265682257,5,NN,metal,metal,met
sintering,32,0.0011631710951982843,9.747720960818267,0.011338267265682257,9,VBG,sinter,sinter,sint
decrease,32,0.0011631710951982843,9.747720960818267,0.011338267265682257,8,NN,decreas,decreas,decreas
elasticity,32,0.0011631710951982843,9.747720960818267,0.011338267265682257,10,NN,elast,elast,elast
local,32,0.0011631710951982843,9.747720960818267,0.011338267265682257,5,JJ,local,local,loc
large,32,0.0011631710951982843,9.747720960818267,0.011338267265682257,5,JJ,larg,larg,larg
microstructure,32,0.0011631710951982843,9.747720960818267,0.011338267265682257,14,NN,microstructur,microstructur,microstruct
matrix,32,0.0011631710951982843,9.747720960818267,0.011338267265682257,6,NN,matrix,matrix,matrix
less,31,0.001126821998473338,9.793524650431392,0.011035559018697,4,RBR,less,less,less
number,31,0.001126821998473338,9.793524650431392,0.011035559018697,6,NN,number,number,numb
dependence,31,0.001126821998473338,9.793524650431392,0.011035559018697,10,NN,depend,depend,depend
elemental,31,0.001126821998473338,9.793524650431392,0.011035559018697,9,NN,element,element,el
powders,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,7,NNS,powder,powder,powd
sample,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,6,NN,sampl,sampl,sampl
nbmotawv,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,8,NN,nbmotawv,nbmotawv,nbmotawv
could,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,5,MD,could,could,could
calculations,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,12,NNS,calcul,calcul,calc
study,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,5,NN,studi,studi,study
agreement,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,9,NN,agreement,agreement,agr
ni-co,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,5,NN,ni-co,ni-co,ni-co
lower,30,0.0010904729017483916,9.840830365209749,0.010731158843963959,5,JJR,lower,lower,low
homogenization,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,14,NN,homogen,homogen,homog
solutions,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,9,NNS,solut,solut,solv
ni-cr,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,5,NN,ni-cr,ni-cr,ni-cr
milled,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,6,VBN,mill,mill,mil
process,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,7,NN,process,process,process
room,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,4,NN,room,room,room
close,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,5,RB,close,close,clos
result,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,6,NN,result,result,result
heating,29,0.0010541238050234452,9.889739965690696,0.010425010323326312,7,NN,heat,heat,heat
radii,28,0.0010177747082984988,9.940366038760663,0.010117053145479938,5,NN,radii,radii,radi
performed,28,0.0010177747082984988,9.940366038760663,0.010117053145479938,9,VBN,perform,perform,perform
three,28,0.0010177747082984988,9.940366038760663,0.010117053145479938,5,CD,three,three,three
increasing,28,0.0010177747082984988,9.940366038760663,0.010117053145479938,10,VBG,increas,increas,increas
interaction,28,0.0010177747082984988,9.940366038760663,0.010117053145479938,11,NN,interact,interact,interact
related,28,0.0010177747082984988,9.940366038760663,0.010117053145479938,7,JJ,relat,relat,rel
ratio,28,0.0010177747082984988,9.940366038760663,0.010117053145479938,5,NN,ratio,ratio,ratio
min,28,0.0010177747082984988,9.940366038760663,0.010117053145479938,3,NN,min,min,min
formed,27,0.0009814256115735524,9.992833458654799,0.009807222688512942,6,VBN,form,form,form
stable,27,0.0009814256115735524,9.992833458654799,0.009807222688512942,6,JJ,stabl,stabl,stabl
resistance,27,0.0009814256115735524,9.992833458654799,0.009807222688512942,10,NN,resist,resist,resist
stability,27,0.0009814256115735524,9.992833458654799,0.009807222688512942,9,NN,stabil,stabil,stabl
sqs,27,0.0009814256115735524,9.992833458654799,0.009807222688512942,3,NN,sq,sqs,sqs
line,27,0.0009814256115735524,9.992833458654799,0.009807222688512942,4,NN,line,line,lin
100,27,0.0009814256115735524,9.992833458654799,0.009807222688512942,3,CD,100,100,100
case,27,0.0009814256115735524,9.992833458654799,0.009807222688512942,4,NN,case,case,cas
moduli,26,0.000945076514848606,10.047281242677174,0.009495449540533114,6,NNS,moduli,moduli,modul
equiatomic,26,0.000945076514848606,10.047281242677174,0.009495449540533114,10,JJ,equiatom,equiatom,equiatom
good,26,0.000945076514848606,10.047281242677174,0.009495449540533114,4,JJ,good,good,good
nicofemncr,26,0.000945076514848606,10.047281242677174,0.009495449540533114,10,NN,nicofemncr,nicofemncr,nicofemncr
nbmocrtial,26,0.000945076514848606,10.047281242677174,0.009495449540533114,10,NN,nbmocrtial,nbmocrtial,nbmocrtial
multicomponent,26,0.000945076514848606,10.047281242677174,0.009495449540533114,14,NN,multicompon,multicompon,multicompon
investigated,26,0.000945076514848606,10.047281242677174,0.009495449540533114,12,VBN,investig,investig,investig
changes,25,0.0009087274181236596,10.103864771043543,0.009181658946461,7,NNS,chang,chang,chang
theoretical,25,0.0009087274181236596,10.103864771043543,0.009181658946461,11,JJ,theoret,theoret,theoret
experiments,25,0.0009087274181236596,10.103864771043543,0.009181658946461,11,NNS,experi,experi,expery
radius,25,0.0009087274181236596,10.103864771043543,0.009181658946461,6,NN,radiu,radius,radi
along,25,0.0009087274181236596,10.103864771043543,0.009181658946461,5,IN,along,along,along
computed,25,0.0009087274181236596,10.103864771043543,0.009181658946461,8,VBN,comput,comput,comput
pure,25,0.0009087274181236596,10.103864771043543,0.009181658946461,4,NN,pure,pure,pur
state,25,0.0009087274181236596,10.103864771043543,0.009181658946461,5,NN,state,state,stat
structural,25,0.0009087274181236596,10.103864771043543,0.009181658946461,10,JJ,structur,structur,structural
predicted,25,0.0009087274181236596,10.103864771043543,0.009181658946461,9,VBN,predict,predict,predict
transformation,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,14,NN,transform,transform,transform
smaller,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,7,JJR,smaller,smaller,smal
components,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,10,NNS,compon,compon,compon
measurement,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,11,NN,measur,measur,meas
single,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,6,JJ,singl,singl,singl
compared,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,8,VBN,compar,compar,comp
leads,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,5,NNS,lead,lead,lead
factor,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,6,NN,factor,factor,fact
cubic,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,5,NN,cubic,cubic,cub
literature,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,10,NN,literatur,literatur,lit
significant,24,0.0008723783213987132,10.16275846009711,0.008865770166200089,11,JJ,signific,signific,sign
precipitates,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,12,NNS,precipit,precipit,precipit
indicates,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,9,NNS,indic,indic,ind
factors,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,7,NNS,factor,factor,fact
methods,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,7,NNS,method,method,method
role,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,4,NN,role,role,rol
measurements,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,12,NNS,measur,measur,meas
function,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,8,NN,function,function,funct
peak,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,4,NN,peak,peak,peak
enthalpy,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,8,NN,enthalpi,enthalpi,enthalpy
show,23,0.0008360292246737669,10.224159004761255,0.008547695725691863,4,NN,show,show,show
linear,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,6,NN,linear,linear,linear
compositional,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,13,JJ,composit,composit,composit
solid-solution,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,14,NN,solid-solut,solid-solut,solid-solution
error,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,5,NN,error,error,er
important,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,9,JJ,import,import,import
sigma,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,5,NN,sigma,sigma,sigm
bec,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,3,NN,bec,bec,bec
critical,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,8,JJ,critic,critic,crit
sem,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,3,NN,sem,sem,sem
treatment,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,9,NN,treatment,treatment,tre
given,22,0.0007996801279488205,10.28828934218097,0.008227340537529765,5,VBN,given,given,giv
design,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,6,NN,design,design,design
considered,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,10,VBN,consid,consid,consid
grain,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,5,NN,grain,grain,grain
law,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,3,NN,law,law,law
cocrfeni,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,8,NN,cocrfeni,cocrfeni,cocrfen
around,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,6,IN,around,around,around
dislocations,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,12,NNS,disloc,disloc,disloc
four,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,4,CD,four,four,four
reveal,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,6,NN,reveal,reveal,rev
-mn,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,3,NN,-mn,-mn,-mn
simple,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,6,NN,simpl,simpl,simpl
set,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,3,NN,set,set,set
metallic,21,0.0007633310312238741,10.355403538039507,0.007904600861431051,8,NN,metal,metal,metal
compounds,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,9,NNS,compound,compound,compound
field,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,5,NN,field,field,field
sps,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,3,NN,sp,sps,sps
purity,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,6,NN,puriti,puriti,pur
general,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,7,JJ,gener,general,gen
lines,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,5,NNS,line,line,lin
interactions,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,12,NNS,interact,interact,interact
evolution,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,9,NN,evolut,evolut,evolv
approach,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,8,NN,approach,approach,approach
various,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,7,JJ,variou,various,vary
possible,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,8,JJ,possibl,possibl,poss
predictions,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,11,NNS,predict,predict,predict
previous,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,8,JJ,previou,previous,prevy
slightly,20,0.0007269819344989277,10.425792865930905,0.007579363066359569,8,RB,slightli,slight,slight
individual,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,10,JJ,individu,individu,individ
stacking,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,8,VBG,stack,stack,stack
annealing,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,9,VBG,anneal,anneal,an
second,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,6,JJ,second,second,second
pattern,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,7,NN,pattern,pattern,pattern
trend,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,5,NN,trend,trend,trend
expected,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,8,VBN,expect,expect,expect
strong,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,6,JJ,strong,strong,strong
dark,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,4,NN,dark,dark,dark
vegards,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,7,NNS,vegard,vegard,vegard
light,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,5,NN,light,light,light
several,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,7,JJ,sever,sever,sev
might,19,0.0006906328377739813,10.499793447374682,0.007251502144601031,5,MD,might,might,might
applied,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,7,VBN,appli,appli,apply
equimolar,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,9,NN,equimolar,equimolar,equimol
revealed,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,8,VBD,reveal,reveal,rev
use,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,3,NN,use,use,us
available,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,9,JJ,avail,avail,avail
maximum,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,7,NN,maximum,maximum,maxim
without,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,7,IN,without,without,without
space,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,5,NN,space,space,spac
many,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,4,JJ,mani,mani,many
form,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,4,NN,form,form,form
current,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,7,JJ,current,current,cur
five,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,4,CD,five,five,fiv
among,18,0.0006542837410490349,10.577795959375955,0.006920879912353865,5,IN,among,among,among
